1	straight_seed_group	0,1,2,3,7,6,5,4	prototype-straight;seed0;seed2;seed8
1	block2x2_prototype	0,4,1,5,2,9,6,7	prototype-block2x2
2	seed1_group	0,1,4,5,8,6,9,7	seed1;seed5
2	seed3	0,1,3,2,4,5,6,7	seed3
3	seed4	1,3,0,2,7,6,5,4	seed4
3	seed6	1,3,0,2,7,6,5,9	seed6
4	seed7_group	0,1,2,3,4,5,6,7	seed7;seed9
